project_id	geoname_id	precision_code	place_name	latitude	longitude	location_type_code	geoname_adm_code	geonames_adm_name
P110599	3834450	4	Provincia de Tierra del Fuego, Antártida e Islas del Atlántico Sur	-54.5	-67	ADM1	AR|23	Argentina|Tierra del Fuego
P110599	3835868	4	Provincia de Santiago del Estero	-28	-63.5	ADM1	AR|22	Argentina|Santiago del Estero
P110599	3836276	4	Provincia de Santa Fe	-31	-61	ADM1	AR|21	Argentina|Santa Fe
P110599	3836350	4	Provincia de Santa Cruz	-49	-70	ADM1	AR|20	Argentina|Santa Cruz
P110599	3837029	4	Provincia de San Luis	-34	-66	ADM1	AR|19	Argentina|San Luis
P110599	3837152	4	Provincia de San Juan	-31	-69	ADM1	AR|18	Argentina|San Juan
P110599	3838231	4	Provincia de Salta	-24.75806	-65.43457	ADM1	AR|17	Argentina|Salta
P110599	3838830	4	Provincia de Río Negro	-40	-67	ADM1	AR|16	Argentina|Rio Negro
P110599	3843122	4	Provincia del Neuquén	-39	-70	ADM1	AR|15	Argentina|Neuquen
P110599	3844419	4	Provincia de Mendoza	-34.5	-68.5	ADM1	AR|13	Argentina|Mendoza
P110599	3848949	4	Provincia de La Rioja	-29.58333	-67	ADM1	AR|12	Argentina|La Rioja
P110599	3849574	4	Provincia de La Pampa	-37	-66	ADM1	AR|11	Argentina|La Pampa
P110599	3853404	4	Provincia de Jujuy	-23	-66	ADM1	AR|10	Argentina|Jujuy
P110599	3860255	4	Provincia de Córdoba	-32	-64	ADM1	AR|05	Argentina|Cordoba
P110599	3861244	4	Provincia del Chubut	-44	-69	ADM1	AR|04	Argentina|Chubut
P110599	3861887	4	Provincia del Chaco	-26.33333	-60.5	ADM1	AR|03	Argentina|Chaco
P110599	3862286	4	Provincia de Catamarca	-27	-67	ADM1	AR|02	Argentina|Catamarca
P110614	3471902	1	Aquidabã	-10.28139	-37.01861	PPL	BR|28|2800209	Brazil|Sergipe|Aquidabã
P110614	3471872	1	Aracaju	-10.91111	-37.07167	PPLA	BR|28|2800308	Brazil|Sergipe|Aracaju
